event_id,sensor_id,time
55000,32883,73.20574
55000,32887,24.950466
55000,32889,10.128406
55000,32890,35.14352
55000,32890,66.25408
55000,32892,55.591454
55000,32892,71.95079
55000,32895,111.37575
55000,32896,20.964949
55000,32896,38.817055
55000,32896,39.974052
55000,32898,94.38283
55000,32899,51.459682
55000,32901,53.59533
55000,32912,19.829123
55000,32923,20.292114
55000,33005,32.9117
55000,33016,22.344334
55000,33022,44.427727
55000,33024,19.564766
55000,33025,9.352814
55000,33026,23.770206
55000,33026,63.94496
55000,33028,3.8720503
55000,33028,8.46937
55000,33028,37.500717
55000,33028,93.6692
55000,33029,97.79773
55000,33030,15.233908
55000,33030,18.309166
55000,33031,20.73132
55000,33032,26.487368
55000,33033,9.564234
55000,33033,36.836983
55000,33034,63.88627
55000,33035,32.230194
55000,33035,37.149223
55000,33036,7.3431973
55000,33036,10.777808
55000,33036,62.617725
55000,33038,6.809265
55000,33038,50.924587
55000,33038,52.430614
55000,33039,7.134829
55000,33041,19.633295
55000,33043,19.709656
55000,33043,23.115606
55000,33043,46.139896
55000,33044,24.592283
55000,33045,6.1085677
55000,33047,16.510042
55000,33048,37.135357
55000,33142,22.476292
55000,33146,48.01073
55000,33159,5.5075727
55000,33166,3.6010106
55000,33166,4.311697
55000,33168,16.484776
55000,33168,25.62454
55000,33172,32.279346
55000,33172,46.83438
55000,33172,51.15328
55000,33173,4.236074
55000,33173,14.206424
55000,33173,78.54556
55000,33174,6.131104
55000,33174,33.41066
55000,33175,16.984709
55000,33175,48.027626
55000,33176,26.194963
55000,33176,91.83562
55000,33177,52.613297
55000,33178,132.17839
55000,33179,33.955563
55000,33179,44.436043
55000,33179,47.88589
55000,33180,13.015348
55000,33180,19.807707
55000,33181,42.43522
55000,33182,86.12946
55000,33183,38.905666
55000,33184,72.04481
55000,33185,40.262245
55000,33300,140.37505
55000,33306,3.0870728
55000,33308,85.097496
55000,33310,83.63091
55000,33311,7.474928
55000,33311,16.565155
55000,33311,27.250462
55000,33312,10.495328
55000,33313,38.220585
55000,33314,6.5826077
55000,33315,9.826166
55000,33315,10.662898
55000,33315,35.76381
55000,33316,45.032196
55000,33316,89.837746
55000,33317,8.684194
55000,33317,20.25822
55000,33318,4.1393414
55000,33318,16.715153
55000,33318,27.148174
55000,33319,2.4480247
55000,33319,2.5510445
55000,33319,2.820858
55000,33320,22.249996
55000,33322,37.249393
55000,33323,28.305994
55000,33323,70.598595
55000,33324,8.665273
55000,33324,18.861628
55000,33325,15.976291
55000,33325,37.886925
55000,33327,26.890886
55000,33327,45.418995
55000,33328,21.850697
55000,33328,76.6159
55000,33333,71.71471
55000,33344,70.77243
55000,33393,7.810792
55000,33445,10.1367
55000,33445,45.13641
55000,33448,9.768114
