sensor_id,x,y,z
523,-21.00293,391.83752,185.5
524,-21.00293,391.83752,192.5
525,-21.00293,391.83752,199.5
526,-21.00293,391.83752,206.5
527,-21.00293,391.83752,213.5
528,-21.00293,391.83752,220.5
529,-21.00293,391.83752,227.5
530,-21.00293,391.83752,234.5
531,-21.00293,391.83752,241.5
532,-21.00293,391.83752,248.5
533,-21.00293,391.83752,255.5
534,-21.00293,391.83752,262.5
535,-21.00293,391.83752,269.5
536,-21.00293,391.83752,276.5
537,-21.00293,391.83752,283.5
538,-21.00293,391.83752,290.5
539,-21.00293,391.83752,297.5
540,-21.00293,391.83752,304.5
541,-21.00293,391.83752,311.5
542,-21.00293,391.83752,318.5
543,-21.00293,391.83752,325.5
544,-21.00293,391.83752,332.5
545,-21.00293,391.83752,339.5
546,-21.00293,391.83752,346.5
547,-21.00293,391.83752,353.5
548,-21.00293,391.83752,360.5
549,-21.00293,391.83752,367.5
550,-21.00293,391.83752,374.5
551,-21.00293,391.83752,381.5
552,-21.00293,391.83752,388.5
553,-21.00293,391.83752,395.5
554,-21.00293,391.83752,402.5
555,-21.00293,391.83752,409.5
556,-21.00293,391.83752,416.5
557,-21.00293,391.83752,423.5
558,-21.00293,391.83752,430.5
559,-21.00293,391.83752,437.5
560,-21.00293,391.83752,444.5
561,-21.00293,391.83752,451.5
562,-21.00293,391.83752,458.5
563,-21.00293,391.83752,465.5
564,-21.00293,391.83752,472.5
565,-21.00293,391.83752,479.5
566,-21.00293,391.83752,486.5
567,-21.00293,391.83752,493.5
568,-27.993496,391.4002,-493.5
569,-27.993496,391.4002,-486.5
570,-27.993496,391.4002,-479.5
571,-27.993496,391.4002,-472.5
572,-27.993496,391.4002,-465.5
573,-27.993496,391.4002,-458.5
574,-27.993496,391.4002,-451.5
575,-27.993496,391.4002,-444.5
576,-27.993496,391.4002,-437.5
577,-27.993496,391.4002,-430.5
578,-27.993496,391.4002,-423.5
579,-27.993496,391.4002,-416.5
580,-27.993496,391.4002,-409.5
581,-27.993496,391.4002,-402.5
582,-27.993496,391.4002,-395.5
583,-27.993496,391.4002,-388.5
584,-27.993496,391.4002,-381.5
585,-27.993496,391.4002,-374.5
586,-27.993496,391.4002,-367.5
587,-27.993496,391.4002,-360.5
588,-27.993496,391.4002,-353.5
589,-27.993496,391.4002,-346.5
590,-27.993496,391.4002,-339.5
591,-27.993496,391.4002,-332.5
592,-27.993496,391.4002,-325.5
593,-27.993496,391.4002,-318.5
594,-27.993496,391.4002,-311.5
595,-27.993496,391.4002,-304.5
596,-27.993496,391.4002,-297.5
597,-27.993496,391.4002,-290.5
598,-27.993496,391.4002,-283.5
599,-27.993496,391.4002,-276.5
600,-27.993496,391.4002,-269.5
601,-27.993496,391.4002,-262.5
602,-27.993496,391.4002,-255.5
603,-27.993496,391.4002,-248.5
604,-27.993496,391.4002,-241.5
605,-27.993496,391.4002,-234.5
606,-27.993496,391.4002,-227.5
607,-27.993496,391.4002,-220.5
608,-27.993496,391.4002,-213.5
609,-27.993496,391.4002,-206.5
610,-27.993496,391.4002,-199.5
611,-27.993496,391.4002,-192.5
612,-27.993496,391.4002,-185.5
613,-27.993496,391.4002,-178.5
614,-27.993496,391.4002,-171.5
615,-27.993496,391.4002,-164.5
616,-27.993496,391.4002,-157.5
617,-27.993496,391.4002,-150.5
618,-27.993496,391.4002,-143.5
619,-27.993496,391.4002,-136.5
620,-27.993496,391.4002,-129.5
621,-27.993496,391.4002,-122.5
622,-27.993496,391.4002,-115.5
623,-27.993496,391.4002,-108.5
624,-27.993496,391.4002,-101.5
625,-27.993496,391.4002,-94.5
626,-27.993496,391.4002,-87.5
627,-27.993496,391.4002,-80.5
628,-27.993496,391.4002,-73.5
629,-27.993496,391.4002,-66.5
630,-27.993496,391.4002,-59.5
631,-27.993496,391.4002,-52.5
632,-27.993496,391.4002,-45.5
633,-27.993496,391.4002,-38.5
634,-27.993496,391.4002,-31.5
